Customer,Rental_amount,Category
"COLLAZO TOMMY",38.95,Comedy
"CARROLL JUNE",31.95,Comedy
"HANSON VIOLA",30.94,Comedy
"QUIGLEY TROY",29.96,Comedy
"SHELTON DIANNE",28.96,Comedy
"PETERS SUE",27.93,Comedy
"ROBINS GREG",26.96,Comedy
"NEWSOM PATRICK",26.96,Comedy
"CHEATHAM MARIO",24.97,Comedy
"SMITH MARY",24.95,Comedy
"BETANCOURT MIGUEL",23.97,Comedy
"WADE MARGIE",23.97,Comedy
"HARDISON BRYAN",23.96,Comedy
"JIMENEZ OLGA",23.95,Comedy
"FLETCHER MAE",21.97,Comedy
"IRBY CURTIS",21.97,Comedy
"HERZOG CLAUDE",21.96,Comedy
"KENNEDY RHONDA",21.96,Comedy
"HERRMANN TRACY",21.95,Comedy
"TUBBS DUANE",21.95,Comedy
